jpncore1#  show ip bgp
BGP routing table information for VRF default
Router identifier 10.30.95.1, local AS number 65200
Route status codes: s - suppressed, * - valid, > - active, E - ECMP head, e - ECMP
                    S - Stale
Origin codes: i - IGP, e - EGP, ? - incomplete
AS Path Attributes: Or-ID - Originator ID, C-LST - Cluster List, LL Nexthop - Link Local Nexthop

      Network             Next Hop         Metric  LocPref Weight Path
 * >  103.22.167.0/24     10.195.0.101     0       2000    0      17088 i Or-ID: 10.30.31.6 C-LST: 10.30.31.3
 *    103.22.167.0/24     10.195.0.101     0       2000    0      17088 i Or-ID: 10.30.31.6 C-LST: 10.30.47.254
 * >  103.28.73.0/24      10.195.0.101     0       2000    0      17088 i Or-ID: 10.30.31.6 C-LST: 10.30.31.3
 *    103.28.73.0/24      10.195.0.101     0       2000    0      17088 i Or-ID: 10.30.31.6 C-LST: 10.30.47.254
 * >  163.124.202.0/24    163.124.230.213  0       100     0      65211 65158 65159 65160 65161 i Or-ID: 10.30.79.2 C-LST: 10.30.47.254
 * >  163.124.230.32/27   10.30.79.2       0       100     0      i Or-ID: 10.30.79.2 C-LST: 10.30.31.3
 *    163.124.230.32/27   10.30.79.2       0       100     0      i Or-ID: 10.30.79.2 C-LST: 10.30.47.254
 * >  165.39.11.112/29    -                110     0       -      i
 *    165.39.11.112/29    10.30.47.1       0       100     0      i
 *    165.39.11.112/29    10.30.78.9       0       100     0      i Or-ID: 10.30.31.1 C-LST: 10.30.31.3
 *    165.39.113.192/27   10.30.31.3       0       100     0      i
 * >  172.31.0.0/16       10.30.78.18      0       1000    0      65004 65003 65522 65521 7224 i Or-ID: 10.30.79.1 C-LST: 10.30.31.3
 *    172.31.0.0/16       10.30.78.18      0       1000    0      65004 65003 65522 65521 7224 i Or-ID: 10.30.79.1 C-LST: 10.30.47.254
